title;description;icon;imageUrl;smallImageUrl
Football;Soccer;fas fa-futbol;assets/img/categories/football-16-9.jpg;assets/img/categories/football-small.jpg
Basketball;Basketball;fas fa-basketball-ball;assets/img/categories/basketball-16-9.jpg;assets/img/categories/basketball-small.jpg
Voleyball;Voleyball;fas fa-volleyball-ball;assets/img/categories/volleyball-16-9.jpg;assets/img/categories/volleyball-small.jpg
Rugby;Rugby;fas fa-football-ball;assets/img/categories/rugby-16-9.jpg;assets/img/categories/rugby-small.jpg
Running‌;Running‌;fas fa-running;assets/img/categories/running‌-16-9.jpg;assets/img/categories/running‌-small.jpg
Cycling;Cycling;fas fa-bicycle;assets/img/categories/cycling-16-9.jpg;assets/img/categories/cycling-small.jpg
Table tennis;Table tennis;fas fa-volleyball-ball;assets/img/categories/table-tennis-16-9.jpg;assets/img/categories/table-tennis-small.jpg
Quidditch;Quidditch;fas fa-quidditch;assets/img/categories/quiddich-16-9.jpg;assets/img/categories/quiddich-small.jpg
Other sports;Other sports;fas fa-bolt;assets/img/categories/other-sports-16-9.jpg;assets/img/categories/other-sports-small.jpg
Auto ride;Auto ride;fas fa-car;assets/img/categories/auto-ride-16-9.jpg;assets/img/categories/auto-ride-small.jpg
Moto ride;Moto ride;fas fa-motorcycle;assets/img/categories/moto-ride-16-9.jpg;assets/img/categories/moto-ride-small.jpg
Cartings;Cartings;fas fa-car-side;assets/img/categories/cartings-16-9.jpg;assets/img/categories/cartings-small.jpg
Bike rides;Bike rides;fas fa-biking;assets/img/categories/bike-rides-16-9.jpg;assets/img/categories/bike-rides-small.jpg
Chariot races;Chariot races;fas fa-dragon;assets/img/categories/chariot-races-16-9.jpg;assets/img/categories/chariot-races-small.jpg
Other auto/moto;Other auto/moto;fas fa-rocket;assets/img/categories/other-auto-moto-16-9.jpg;assets/img/categories/other-auto-moto-small.jpg
Extreme‌;Extreme‌;fas fa-bomb;assets/img/categories/extreme‌-16-9.jpg;assets/img/categories/extreme‌-small.jpg
Gym;Gym;fas fa-dumbbell;assets/img/categories/gym-16-9.jpg;assets/img/categories/gym-small.jpg
